ID,y
1,77.9648618785
2,100.581468277
3,77.9648618785
4,77.9648618785
5,115.189238892
8,96.178494873
10,115.553824463
11,97.3577619171
12,119.82818222
14,96.9631209564
15,119.82818222
16,105.724062119
17,99.5036759949
19,97.835737381
20,106.676741104
21,99.6918112183
22,119.787563629
23,99.5036759949
26,95.7154332733
28,94.8661454773
29,97.1249607086
33,96.2105211639
35,94.8422433472
41,96.2105211639
42,94.2355371094
43,116.324849014
45,103.58806694
46,103.877336044
51,94.5129575348
53,77.9648618785
55,112.880938568
56,94.4973191071
57,103.848508453
58,94.9646944427
59,103.788024368
63,112.448202362
64,95.0943302155
65,105.084182281
69,94.8899260712
71,95.5732522583
72,104.353119125
73,94.8932791138
76,103.787041855
77,103.898578796
78,115.500220261
82,94.8982289886
83,105.084182281
84,94.7372202301
85,103.808069229
87,112.615501328
88,95.990381546
89,112.907007675
91,94.3986590576
93,94.8441779327
94,103.832305222
95,94.5135792542
96,112.950347137
97,93.7445988464
98,112.646126251
99,94.5079171753
101,104.345731659
103,112.907007675
104,94.3148001099
105,112.424434738
110,95.2902632904
111,112.510044022
113,112.819119949
114,94.0724994659
115,112.612361603
117,112.907007675
120,93.9279808807
121,112.860567017
122,93.8362756348
123,112.991542816
126,112.739991608
132,113.737787552
135,105.285490112
137,104.819930573
138,95.0391641235
140,94.4973191071
142,112.325932617
144,112.739099121
148,93.7998091888
149,112.763894806
155,94.1735423279
156,112.695835342
157,93.7445988464
162,112.64243103
163,94.8589308167
167,94.2089659882
172,116.136740265
179,113.220878601
180,94.058562088
181,112.414178314
182,95.2767756653
183,112.907007675
185,112.907007675
187,112.616422882
188,94.8982289886
189,94.5107108307
191,94.0821843719
192,112.430757141
193,94.740321579
194,112.492542191
195,94.0245232391
196,112.852464294
198,95.088339386
199,112.72999939
201,104.715705719
204,95.0391641235
205,104.343956299
206,94.7006986237
210,94.5810467529
211,104.34140419
216,112.719274979
219,116.123685455
220,94.5058965302
221,112.414178314
226,112.414178314
227,94.070749054
228,112.719397736
230,112.620558624
231,93.7365037537
235,116.217525711
236,94.4714826202
238,112.620558624
242,103.820616837
243,94.3986590576
244,77.9648618785
245,111.423411102
247,112.880806503
248,93.796503067
249,94.1305380249
250,112.56258316
251,94.4714826202
253,116.217525711
254,94.0542724609
256,94.650187149
257,93.7907554626
258,112.958068542
259,94.5079171753
262,77.9648618785
266,94.4373464203
267,112.555979462
272,103.809754562
273,112.907007675
275,94.1756918335
276,113.202848129
279,95.1440280151
280,105.079854813
283,93.9371604156
285,112.719397736
288,112.907007675
289,95.0797315216
290,104.715705719
291,94.9587856293
292,112.45966629
293,112.451450424
296,93.9730205536
297,112.548953018
298,115.500220261
299,94.8982289886
304,94.1402044678
305,77.9648618785
306,94.6549504852
307,112.414178314
311,110.296084976
313,112.414178314
314,94.0559440613
316,94.9466404724
324,94.6991308594
327,95.0388739014
329,94.1403943634
330,112.492542191
337,105.306427155
338,95.2797547913
339,104.775273972
340,95.0898783875
343,93.914706192
345,116.123685455
346,93.963176651
347,112.555979462
349,112.444498367
350,94.002869339
352,112.662255249
353,93.6697336578
354,77.9648618785
357,94.610076828
358,112.8146698
362,112.595303421
364,116.731160583
365,104.368582916
366,95.020657196
367,112.83713913
368,94.9722994232
370,77.9648618785
373,94.9600117493
377,94.0614356232
378,112.474491501
382,103.779386444
384,112.719397736
390,94.5034544373
392,112.640450821
393,113.572972565
395,95.2220114899
396,105.65478096
399,77.9648618785
406,112.417006989
408,112.426457901
409,94.298938446
410,77.9648618785
412,112.915780106
413,93.6743105316
419,94.4716537476
420,112.745164948
421,93.6755980682
430,101.234269714
434,94.5144689941
436,95.0266122437
437,94.4988305664
438,93.9045616913
439,112.642843628
440,94.4995328522
443,112.917344437
446,95.0398384094
448,94.4722467804
452,94.7410817719
453,103.795771866
457,104.722323761
458,94.5424760437
459,113.601990051
460,103.83319664
462,104.420499954
464,103.806589127
465,116.127917252
467,117.607634048
471,112.982923965
472,77.9648618785
473,95.7507919312
475,95.0740966797
480,94.864608078
488,112.510851364
490,112.429072647
491,104.349004745
492,77.9648618785
493,94.6171968842
497,93.8358835602
498,112.541168442
499,94.6967546844
500,103.880609131
501,94.5424760437
502,112.51051384
506,77.9648618785
510,112.39411171
511,93.8863206482
512,94.1419058228
516,94.1249853516
518,94.0413201904
519,112.556255035
521,93.893988266
522,112.983515091
526,112.722267075
529,94.8896607971
532,112.556255035
533,94.5074134064
536,113.211896591
537,101.370190506
539,94.9053490448
540,104.349004745
541,95.0766512299
543,94.51222229
546,112.605980988
547,94.4756419373
548,77.9648618785
551,94.5363495636
552,103.805502243
556,103.900412216
557,95.0361079407
558,112.845462494
559,95.0516043091
560,104.326568298
562,104.351556854
566,94.9911730194
570,112.537212219
571,94.4988305664
572,105.087455368
573,94.899740448
575,116.123961029
576,112.510204849
577,94.014651413
579,93.6709458923
580,112.547427216
581,113.738063126
589,112.423333054
591,103.609694138
593,94.9687054443
594,103.704727249
595,94.6408751678
598,94.5363495636
602,112.569416885
604,112.755306854
606,112.226466827
608,95.0172187805
609,104.349004745
610,94.5144689941
616,112.410876236
617,94.8711962891
618,103.603517532
620,104.419226456
622,112.945538864
623,93.6690592957
624,145.882836151
626,112.529329147
628,112.601129837
629,94.0898545837
630,112.627098618
637,95.3117372131
638,104.72823349
643,95.0604943848
645,94.864608078
646,118.215713425
648,95.6494792175
652,94.9911730194
653,94.4988305664
654,112.535428848
656,112.646016922
657,94.3007131958
659,94.9011199188
660,104.341165009
663,94.0381299591
664,112.672922592
666,103.867311172
668,112.493623352
669,94.5002267456
671,94.9351811981
675,94.1328935242
677,94.4729940796
678,111.429951096
679,105.131017838
682,94.9556497955
685,103.825070877
687,95.0398384094
688,94.1998379517
693,112.800162354
696,95.0402339935
698,94.6855826569
701,95.0730801392
704,103.811938934
705,116.122177658
709,112.867173233
710,94.4426145935
711,104.193799515
712,94.8720864105
714,112.490619202
715,94.0321586609
716,112.427484589
717,94.4352225494
720,116.122177658
721,94.0836958313
724,103.449973373
725,95.0406755829
726,112.547766418
728,112.806005707
731,93.9101438904
734,104.425719986
738,94.1707578278
745,112.564441681
746,94.1419058228
751,77.9648618785
754,94.07913414
756,93.910618515
758,94.471974411
759,112.31033432
761,116.216017914
766,94.9319737244
767,112.837139969
768,93.6709326935
769,112.719887543
770,94.8196894073
771,77.9648618785
772,103.918110886
773,94.538596344
774,112.544524002
776,112.726985092
777,94.7785075378
780,116.232618103
782,104.411505814
787,103.726131058
788,94.9256196594
792,93.6912033081
793,112.944298248
798,94.9715621185
800,93.9208004761
806,112.538196869
809,112.962711945
811,113.006832504
812,93.6860938263
814,116.233529358
816,103.858970261
817,95.0749992371
818,110.115186996
820,112.611170349
823,94.5658709717
829,93.6969985962
830,112.371890564
831,93.5001468658
834,112.667370453
839,94.6734764862
841,77.9648618785
844,104.413016281
845,94.5343644714
848,94.1616114044
850,98.5289549255
851,103.898976212
852,94.8655339813
854,94.3205286407
855,95.1174721527
856,103.857795258
859,103.872259064
861,112.654141769
864,94.456901474
865,112.654141769
866,93.9585673523
867,93.9069317627
869,94.8628093719
871,93.6850784302
872,112.54619751
882,103.675111847
883,94.5343644714
885,95.0015410614
888,95.0998905945
893,112.54412796
901,111.539848633
903,104.413016281
904,94.7874260712
905,103.976691284
910,94.8896656799
911,112.788117905
914,113.327279053
918,112.785461426
921,93.6904072571
928,94.6328291321
929,103.976719208
932,94.800763855
933,103.94836937
934,94.8910110474
935,112.671469955
937,77.9648618785
939,94.9209812927
940,103.789534454
941,94.6420433044
942,103.814740219
943,94.7172523499
944,103.88100563
947,112.54619751
949,112.936035538
951,112.554409485
952,95.0461710358
953,104.413044205
954,77.9648618785
957,112.84111824
959,93.8591676331
960,116.618130722
963,116.233529358
965,112.54619751
967,103.845129547
971,94.6733438873
972,77.9648618785
973,94.7522537231
974,112.831422272
975,94.7632067871
978,118.985455093
980,112.791894455
981,94.7144957733
984,113.327279053
986,94.8910110474
988,93.6921735382
989,112.758319473
990,103.800419159
992,111.539848633
996,94.5252335358
999,112.853802948
1000,94.5250617218
1001,112.654141769
1002,93.6933655548
1003,112.831422272
1004,93.6905334473
1008,112.671084137
1009,94.7606813049
1010,104.094817505
1012,118.560121841
1013,94.2902159119
1014,112.936027985
1015,93.6924859619
1016,116.233529358
1019,93.683939743
1020,112.764182053
1021,94.8910110474
1022,103.85601532
1024,94.8910110474
1025,77.9648618785
1027,94.8641547394
1028,103.957694168
1029,94.4819850159
1030,95.0034146881
1033,112.841427689
1036,94.2789566803
1037,112.551891479
1038,94.0774252319
1042,94.9209812927
1043,103.838825226
1044,94.5293214417
1045,112.715492096
1047,113.709149246
1050,94.5334631348
1051,112.54412796
1054,94.5637168884
1056,94.7144957733
1057,94.5357098389
1059,95.078217926
1062,100.856876144
1063,103.806175995
1064,94.7144957733
1066,94.5631990051
1070,103.874013824
1076,112.716035995
1077,100.623690338
1078,112.842023926
1080,112.61874527
1082,112.405201492
1083,95.1032241821
1089,112.834943008
1091,95.1032241821
1093,95.0550170898
1097,94.9217723846
1099,94.0595816803
1101,94.8910110474
1103,94.7514808655
